name,institute,country
mónica silvia taormina,universidad de concepción,chile
neil nagar,universidad de concepcion,chile
neven caplar,"institute for astronomy, eth zurich",switzerland
nick scoville,caltech,usa
nicola menci,inaf-osservatorio astronomico di roma,italy
nora loiseau,"xmm-newton soc, esac/esa",spain
oli luiz dors junior,universidade do vale do paraiba,brazil
olimpia judit fogasy,"chalmers university of technology, department of earth and space sciences",sweden
omaira gonzalez martin,centro de radioastronomia y astrofísica (unam),mexico
orianne roos,cea-saclay,france
orlando patricio vasquez neira,univeridad de concepcion,chile
patricia arevalo,u. de valparaíso,chile
patricia bessiere,university of sheffield,united kingdom
patricia da silva,"instituto de astronomia, geofísica e ciencias atmosféricas (iag-usp)",brazil
paul torrey,mit / caltech,usa
paula andrea sánchez sáez,universidad de chile,chile
paula calderón castillo,universidad de concepción,chile
pawel biernacki,"institute for computational science, university of zurich",switzerland
peter berczik,"national astronomical observatories of china, chinese academy of sciences",china
pilar,universidad complutense de madrid,spain
rainer weinberger,heidelberg institute for theoretical studies (hits),germany
ray norris,csiro astronomy & space science,australia
rebecca davies,australian national university,australia
rebecca mcelroy,university of sydney,australia
ricarda beckmann,university of oxford,united kingdom
ricardo demarco,universidad de concepcion,chile
robert nikutta,"instituto de astrofisica, pontificia universidad catolica de chile",chile
roberto bertoldo menezes,"instituto de astronomia, geofísica e ciencias atmosféricas - universidade de sao paulo",brazil
roberto j. assef,universidad diego portales,chile
rogemar a. riffel,universidade federal de santa maria,brazil
rogério riffel,ufrgs,brazil
ronald lasker,mpia,germany
rosalie mcgurk,university of california santa cruz,usa
roy lawrence slater clement,university of concepcion,chile
ryan brennan,rutgers university,usa
sabrina lyn cales,"yale university, universidad de concepcion",usa
salvatore cielo,max planck institute for astronomy,germany
sam kim,pontificia universidad catolica de chile,chile
silvia bonoli,cefca,spain
srikar srinath,university of california santa cruz,usa
stefano cristiani,inaf-observatory of trieste,italy
stephanie dorschner,"institut fur astrophysik, georg-august universitat gottingen",germany
stephanie juneau,cea-saclay,france
stephanie lamassa,yale university,usa
tanio diaz-santos,universidad diego portales,chile
thales gutcke,max planck institute for astronomy,germany
tiago vecchi ricci,iag - university of sao paulo,brazil
tonima tasnim ananna,yale university,usa
valentina constanza ignacia peirano bastías,universidad de concepción,chile
valeria olivares sepúlveda,universidad de concepción,chile
vincenzo mainieri,eso,germany
vivian u,"university of california, riverside",usa
xian chen,"instituto de astrofisica, puc",chile
yoshiki toba,ehime university,japan
yun-kyeong sheen,universidad de concepción,chile
